structure_no,latitude,longitude,inside_shakemap,pga_raw,pga
        1CA0070,34.10225,-119.10413333333332,True,-1.727297067642212,0.17776424592805182
        1CA0095,32.72665,-117.14681666666668,True,-3.56060528755188,0.028421616256153026
        1CA0141,34.11646944444445,-119.09663055555555,True,-1.697081446647644,0.18321747446665054
        1CA0142,34.11296111111111,-119.09228888888889,True,-1.697081446647644,0.18321747446665054
        1CA0482,32.68761666666666,-117.12868055555555,True,-3.636950731277466,0.026332516588851176
        1CA0484,32.67446666666667,-117.11555,True,-3.667921781539917,0.025529470671288287
        1CA070A,34.10238888888889,-119.10411111111111,True,-1.727297067642212,0.17776424592805182
        1CA3102,32.67833888888889,-117.11153888888889,True,-3.633718252182007,0.026417773619803624
        1CA3103,32.68176666666666,-117.11274722222221,True,-3.633718252182007,0.026417773619803624
        1CA5135,34.15363055555555,-119.21127222222222,True,-2.0795793533325195,0.12498277473036325
        1CA8923,33.79580555555555,-118.03519444444444,True,-2.160674571990967,0.11524735217485288
        29C0416,37.678888888888885,-121.43445,True,-6.389345169067383,0.0016793555353624358
        2CA0001,33.21652777777778,-117.39166666666668,True,-3.131446361541748,0.04365461121805513
        2CA0004,33.41927777777777,-117.53691666666667,True,-3.0460028648376465,0.0475486032465443
        2CA0005,33.391038888888886,-117.50775,True,-3.1278235912323,0.04381304866540263
        2CA0006,33.3814,-117.48557222222222,True,-3.1340627670288086,0.04354054234401496
        2CA0007,33.37809166666667,-117.4808388888889,True,-3.1340627670288086,0.04354054234401496
        2CA0008,33.30497222222222,-117.45319444444445,True,-3.0934717655181885,0.04534425619231403
        2CA0009,33.347722222222224,-117.40391666666667,True,-3.1872260570526123,0.041286237910481284
        2CA0010,33.31767222222223,-117.34814722222222,True,-3.0611002445220947,0.046836135659432315
        2CA0011,33.3125,-117.34669444444444,True,-3.0611002445220947,0.046836135659432315
        2CA0012,33.237630555555555,-117.39483055555556,True,-3.105576276779175,0.04479869467165153
        2CA0013,33.293299999999995,-117.452725,True,-3.0934717655181885,0.04534425619231403
        2CA0014,33.42736111111111,-117.56988333333332,True,-2.9859862327575684,0.05048968440585689
        2CA1040,33.21606388888889,-117.38829722222223,True,-3.1300084590911865,0.04371742744148164
        2CA1047,32.74367222222222,-117.19365,True,-3.587913990020752,0.027655960903903692
        2CA2500,33.314480555555555,-117.34789444444444,True,-3.0611002445220947,0.046836135659432315
        2CA7555,32.88,-117.13074999999999,True,-3.371931314468384,0.0343232842342933
        2CAS202,34.87755,-116.96276666666667,True,-3.5234060287475586,0.029498790138029998
        2CAS203,34.87116666666667,-116.94103333333334,True,-3.5445618629455566,0.02888127369419129
        39C0240,36.904961111111106,-120.8087,True,-5.66654109954834,0.0034598117477814224
        39C0242,36.8938,-120.79409722222222,True,-5.572390556335449,0.003801382143771668
        39C0243,36.880611111111115,-120.78621111111111,True,-5.545699119567871,0.0039042127381268806
        39C0255,37.07165277777778,-120.9982,True,-5.782874584197998,0.003079849384902595
        39C0256,37.042069444444444,-120.9444,True,-5.737139701843262,0.0032239766341269193
        39C0257,37.050999999999995,-120.95566111111111,True,-5.737139701843262,0.0032239766341269193
        39C0258,37.03171944444444,-120.92723055555555,True,-5.7235002517700195,0.0032682511561511105
        39C0260,37.00095,-120.90853055555556,True,-5.588890552520752,0.003739173981461589
        39C0266,36.988458333333334,-120.89163055555557,True,-5.581957817077637,0.003765186751088652
        39C0314,36.96946944444445,-120.8748,True,-5.538732051849365,0.003931508628407012
        42C0140,36.77816388888889,-120.67439166666666,True,-5.274573802947998,0.005120138431222912
        42C0141,36.75188888888889,-120.6576388888889,True,-5.279087543487549,0.005097079534905211
        42C0143,36.85027777777778,-120.75638888888889,True,-5.4937896728515625,0.004112230599110051
        42C0146,36.70888888888889,-120.5679,True,-5.149414539337158,0.005802801044285728
        42C0156,36.138080555555554,-120.0583,True,-4.248505115509033,0.014285573236986688
        42C0159,36.42868055555555,-120.2954,True,-4.730432987213135,0.008822650117894263
        42C0173,36.603775,-120.48958888888889,True,-5.0090012550354,0.006677569165534326
        42C0245,36.6721,-120.5376,True,-5.089322090148926,0.006162195884828567
        42C0370,36.5014,-120.35462777777778,True,-4.826430320739746,0.008015081530444381
        42C0371,36.32115277777778,-120.2119,True,-4.533931255340576,0.010738377679724794
        42C0425,36.181491666666666,-120.0493,True,-4.291819095611572,0.013680017389700927
        45C0071,36.10003611111111,-120.0595,True,-4.336531639099121,0.013081822090509898
        45C0123,36.07246111111112,-120.0226888888889,True,-4.272069931030273,0.01395287175914948
        45C0124,36.048030555555556,-120.00363055555556,True,-4.24501895904541,0.014335461889762122
        45C0125,36.036252777777776,-119.99346944444444,True,-4.266819000244141,0.014026330016352494
       FRES-139,34.418619444444445,-119.33980833333332,True,-2.443315029144287,0.08687238909389199
      0304-0003,32.87406388888889,-114.46976666666667,True,-5.847044467926025,0.002888423383024842
      0304-0044,32.87275,-114.47886111111112,True,-5.921569347381592,0.0026809894699822436
      0304-0052,32.833530555555555,-114.54381111111111,True,-6.007967948913574,0.002459080083150074
      0304-0053,32.833111111111116,-114.54386111111111,True,-6.007967948913574,0.002459080083150074
      0304-0054,32.85955555555556,-114.49352777777779,True,-6.064339637756348,0.0023242923827875724
      0304-0055,32.809999999999995,-114.59246944444443,True,-6.0480475425720215,0.002362470128796384
      0304-0056,32.809530555555554,-114.59261111111111,True,-6.0480475425720215,0.002362470128796384
      0304-0071,32.735,-114.72555555555556,True,-6.083439826965332,0.002280319242982971
      0304-0073,32.76305555555555,-114.68444444444445,True,-6.05163049697876,0.00235402065212169
      0304-0074,32.77027777777778,-114.66861111111112,True,-5.99772834777832,0.0024843894400822446
      0304-0075,32.77305555555555,-114.64333333333335,True,-5.980222702026367,0.0025282631801950696
      0304-0076,32.779444444444444,-114.635,True,-6.089917182922363,0.0022655965371293574
      0304-0077,32.78611111111111,-114.62666666666667,True,-6.089917182922363,0.0022655965371293574
