structure_no,latitude,longitude,geometry,inside_shakemap,pga
1CA0070,34.10225,-119.10413333333332,POINT (-119.10413333333332 34.10225),True,0.17776425182819366
1CA0095,32.72665,-117.14681666666668,POINT (-117.14681666666668 32.72665),True,0.028421616181731224
1CA0141,34.11646944444445,-119.09663055555555,POINT (-119.09663055555555 34.11646944444445),True,0.18321748077869415
1CA0142,34.11296111111111,-119.09228888888889,POINT (-119.09228888888889 34.11296111111111),True,0.18321748077869415
1CA0482,32.68761666666666,-117.12868055555555,POINT (-117.12868055555555 32.68761666666666),True,0.026332516223192215
1CA0484,32.67446666666667,-117.11555,POINT (-117.11555 32.67446666666667),True,0.025529470294713974
1CA070A,34.10238888888889,-119.10411111111111,POINT (-119.10411111111111 34.10238888888889),True,0.17776425182819366
1CA3102,32.67833888888889,-117.11153888888889,POINT (-117.11153888888889 32.67833888888889),True,0.026417773216962814
1CA3103,32.68176666666666,-117.11274722222221,POINT (-117.11274722222221 32.68176666666666),True,0.026417773216962814
1CA5135,34.15363055555555,-119.21127222222222,POINT (-119.21127222222222 34.15363055555555),True,0.12498277425765991
1CA8923,33.79580555555555,-118.03519444444444,POINT (-118.03519444444444 33.79580555555555),True,0.11524735391139984
29C0416,37.678888888888885,-121.43445,POINT (-121.43445 37.678888888888885),True,0.0016793555114418268
2CA0001,33.21652777777778,-117.39166666666668,POINT (-117.39166666666668 33.21652777777778),True,0.043654609471559525
2CA0004,33.41927777777777,-117.53691666666667,POINT (-117.53691666666667 33.41927777777777),True,0.047548603266477585
2CA0005,33.391038888888886,-117.50775,POINT (-117.50775 33.391038888888886),True,0.04381304979324341
2CA0006,33.3814,-117.48557222222222,POINT (-117.48557222222222 33.3814),True,0.04354054108262062
2CA0007,33.37809166666667,-117.4808388888889,POINT (-117.4808388888889 33.37809166666667),True,0.04354054108262062
2CA0008,33.30497222222222,-117.45319444444445,POINT (-117.45319444444445 33.30497222222222),True,0.04534425586462021
2CA0009,33.347722222222224,-117.40391666666667,POINT (-117.40391666666667 33.347722222222224),True,0.04128623753786087
2CA0010,33.31767222222223,-117.34814722222222,POINT (-117.34814722222222 33.31767222222223),True,0.04683613404631615
2CA0011,33.3125,-117.34669444444444,POINT (-117.34669444444444 33.3125),True,0.04683613404631615
2CA0012,33.237630555555555,-117.39483055555556,POINT (-117.39483055555556 33.237630555555555),True,0.04479869455099106
2CA0013,33.293299999999995,-117.452725,POINT (-117.452725 33.293299999999995),True,0.04534425586462021
2CA0014,33.42736111111111,-117.56988333333332,POINT (-117.56988333333332 33.42736111111111),True,0.05048968270421028
2CA1040,33.21606388888889,-117.38829722222223,POINT (-117.38829722222223 33.21606388888889),True,0.04371742904186249
2CA1047,32.74367222222222,-117.19365,POINT (-117.19365 32.74367222222222),True,0.027655960991978645
2CA2500,33.314480555555555,-117.34789444444444,POINT (-117.34789444444444 33.314480555555555),True,0.04683613404631615
2CA7555,32.88,-117.13074999999999,POINT (-117.13074999999999 32.88),True,0.03432328253984451
2CAS202,34.87755,-116.96276666666667,POINT (-116.96276666666667 34.87755),True,0.029498789459466934
2CAS203,34.87116666666667,-116.94103333333334,POINT (-116.94103333333334 34.87116666666667),True,0.028881274163722992
39C0240,36.904961111111106,-120.8087,POINT (-120.8087 36.904961111111106),True,0.0034598116762936115
39C0242,36.8938,-120.79409722222222,POINT (-120.79409722222222 36.8938),True,0.0038013821467757225
39C0243,36.880611111111115,-120.78621111111111,POINT (-120.78621111111111 36.880611111111115),True,0.0039042127318680286
39C0255,37.07165277777778,-120.9982,POINT (-120.9982 37.07165277777778),True,0.0030798492953181267
39C0256,37.042069444444444,-120.9444,POINT (-120.9444 37.042069444444444),True,0.0032239765860140324
39C0257,37.050999999999995,-120.95566111111111,POINT (-120.95566111111111 37.050999999999995),True,0.0032239765860140324
39C0258,37.03171944444444,-120.92723055555555,POINT (-120.92723055555555 37.03171944444444),True,0.003268251195549965
39C0260,37.00095,-120.90853055555556,POINT (-120.90853055555556 37.00095),True,0.0037391739897429943
39C0266,36.988458333333334,-120.89163055555557,POINT (-120.89163055555557 36.988458333333334),True,0.0037651867605745792
39C0314,36.96946944444445,-120.8748,POINT (-120.8748 36.96946944444445),True,0.003931508399546146
42C0140,36.77816388888889,-120.67439166666666,POINT (-120.67439166666666 36.77816388888889),True,0.0051201386377215385
42C0141,36.75188888888889,-120.6576388888889,POINT (-120.6576388888889 36.75188888888889),True,0.005097079556435347
42C0143,36.85027777777778,-120.75638888888889,POINT (-120.75638888888889 36.85027777777778),True,0.004112230613827705
42C0146,36.70888888888889,-120.5679,POINT (-120.5679 36.70888888888889),True,0.005802800878882408
42C0156,36.138080555555554,-120.0583,POINT (-120.0583 36.138080555555554),True,0.014285572804510593
42C0159,36.42868055555555,-120.2954,POINT (-120.2954 36.42868055555555),True,0.008822649717330933
42C0173,36.603775,-120.48958888888889,POINT (-120.48958888888889 36.603775),True,0.006677569355815649
42C0245,36.6721,-120.5376,POINT (-120.5376 36.6721),True,0.006162195932120085
42C0370,36.5014,-120.35462777777778,POINT (-120.35462777777778 36.5014),True,0.008015081286430359
42C0371,36.32115277777778,-120.2119,POINT (-120.2119 36.32115277777778),True,0.010738377459347248
42C0425,36.181491666666666,-120.0493,POINT (-120.0493 36.181491666666666),True,0.013680017553269863
45C0071,36.10003611111111,-120.0595,POINT (-120.0595 36.10003611111111),True,0.013081822544336319
45C0123,36.07246111111112,-120.0226888888889,POINT (-120.0226888888889 36.07246111111112),True,0.013952871784567833
45C0124,36.048030555555556,-120.00363055555556,POINT (-120.00363055555556 36.048030555555556),True,0.014335461892187595
45C0125,36.036252777777776,-119.99346944444444,POINT (-119.99346944444444 36.036252777777776),True,0.014026329852640629
FRES-139,34.418619444444445,-119.33980833333332,POINT (-119.33980833333332 34.418619444444445),True,0.0868723914027214
0304-0003,32.87406388888889,-114.46976666666667,POINT (-114.46976666666667 32.87406388888889),True,0.002888423390686512
0304-0044,32.87275,-114.47886111111112,POINT (-114.47886111111112 32.87275),True,0.002680989447981119
0304-0052,32.833530555555555,-114.54381111111111,POINT (-114.54381111111111 32.833530555555555),True,0.0024590801913291216
0304-0053,32.833111111111116,-114.54386111111111,POINT (-114.54386111111111 32.833111111111116),True,0.0024590801913291216
0304-0054,32.85955555555556,-114.49352777777779,POINT (-114.49352777777779 32.85955555555556),True,0.0023242924362421036
0304-0055,32.809999999999995,-114.59246944444443,POINT (-114.59246944444443 32.809999999999995),True,0.002362470142543316
0304-0056,32.809530555555554,-114.59261111111111,POINT (-114.59261111111111 32.809530555555554),True,0.002362470142543316
0304-0071,32.735,-114.72555555555556,POINT (-114.72555555555556 32.735),True,0.002280319342389703
0304-0073,32.76305555555555,-114.68444444444445,POINT (-114.68444444444445 32.76305555555555),True,0.002354020718485117
0304-0074,32.77027777777778,-114.66861111111112,POINT (-114.66861111111112 32.77027777777778),True,0.0024843893479555845
0304-0075,32.77305555555555,-114.64333333333335,POINT (-114.64333333333335 32.77305555555555),True,0.0025282632559537888
0304-0076,32.779444444444444,-114.635,POINT (-114.635 32.779444444444444),True,0.002265596529468894
0304-0077,32.78611111111111,-114.62666666666667,POINT (-114.62666666666667 32.78611111111111),True,0.002265596529468894
0304-0079,32.796475,-114.5654611111111,POINT (-114.5654611111111 32.796475),True,0.003098769811913371
0304-0080,32.796974999999996,-114.61334722222222,POINT (-114.61334722222222 32.796974999999996),True,0.0023255872074514627
