Model Family,Encoded Feature,Source Feature,Coefficient,Abs_Coefficient,Model
Structural-only core,cat__HWB_CLASS_HWB2,HWB_CLASS,0.009725281587505364,0.009725281587505364,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB1,HWB_CLASS,0.004488472597100435,0.004488472597100435,Elastic Net
Structural-only core,num__deck_area_log1p,deck_area_log1p,0.004447773619164699,0.004447773619164699,Elastic Net
Structural-only core,num__operating_rating,operating_rating,0.0027199449602707685,0.0027199449602707685,Elastic Net
Structural-only core,num__spans,spans,-0.0017062014579784955,0.0017062014579784955,Elastic Net
Structural-only core,cat__design_era_1989_1990+,design_era_1989,-0.001619630769266116,0.001619630769266116,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB4,HWB_CLASS,0.001554722546922603,0.001554722546922603,Elastic Net
Structural-only core,num__cond,cond,0.0011664156640188216,0.0011664156640188216,Elastic Net
Structural-only core,num__age_years,age_years,0.0009409411490387,0.0009409411490387,Elastic Net
Structural-only core,cat__design_era_1989_1975-1989,design_era_1989,0.0006434192909525937,0.0006434192909525937,Elastic Net
Structural-only core,num__reconstructed_flag,reconstructed_flag,0.0005900790924297643,0.0005900790924297643,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.0003383112804624277,0.0003383112804624277,Elastic Net
Structural-only core,num__skew,skew,-0.00030532108137730594,0.00030532108137730594,Elastic Net
Structural-only core,num__time_since_rehab,time_since_rehab,4.0898572848677816e-05,4.0898572848677816e-05,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB12,HWB_CLASS,0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB28,HWB_CLASS,0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0,0.0,Elastic Net
Structural-only core,num__max_span_log1p,max_span_log1p,-0.0,0.0,Elastic Net
Structural-only core,cat__design_era_1989_Pre-1975,design_era_1989,0.0,0.0,Elastic Net
Structural-only core,cat__HWB_CLASS_HWB2,HWB_CLASS,0.010075528164399793,0.010075528164399793,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB1,HWB_CLASS,0.00519164582354564,0.00519164582354564,Lasso Regression
Structural-only core,num__deck_area_log1p,deck_area_log1p,0.00461111758451849,0.00461111758451849,Lasso Regression
Structural-only core,num__operating_rating,operating_rating,0.002731181206209994,0.002731181206209994,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB4,HWB_CLASS,0.002306829538933447,0.002306829538933447,Lasso Regression
Structural-only core,cat__design_era_1989_1990+,design_era_1989,-0.00178790478182352,0.00178790478182352,Lasso Regression
Structural-only core,num__spans,spans,-0.0017441547865344408,0.0017441547865344408,Lasso Regression
Structural-only core,num__cond,cond,0.0011854910288234012,0.0011854910288234012,Lasso Regression
Structural-only core,num__age_years,age_years,0.0008960105353582104,0.0008960105353582104,Lasso Regression
Structural-only core,cat__design_era_1989_1975-1989,design_era_1989,0.0007566963067472841,0.0007566963067472841,Lasso Regression
Structural-only core,num__reconstructed_flag,reconstructed_flag,0.0006421480209274612,0.0006421480209274612,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.000474568945705091,0.000474568945705091,Lasso Regression
Structural-only core,num__skew,skew,-0.000349495407034274,0.000349495407034274,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.000208813926019009,0.000208813926019009,Lasso Regression
Structural-only core,num__time_since_rehab,time_since_rehab,8.22999351557778e-05,8.22999351557778e-05,Lasso Regression
Structural-only core,num__max_span_log1p,max_span_log1p,-2.0566938538430057e-05,2.0566938538430057e-05,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB12,HWB_CLASS,0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB28,HWB_CLASS,0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural-only core,cat__design_era_1989_Pre-1975,design_era_1989,-0.0,0.0,Lasso Regression
Structural-only core,cat__design_era_1989_1990+,design_era_1989,-62988236402.08531,62988236402.08531,Linear Regression
Structural-only core,cat__design_era_1989_Pre-1975,design_era_1989,-62988236402.08336,62988236402.08336,Linear Regression
Structural-only core,cat__design_era_1989_1975-1989,design_era_1989,-62988236402.08154,62988236402.08154,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-13044859263.656788,13044859263.656788,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-13044859263.656336,13044859263.656336,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-13044859263.65564,13044859263.65564,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-13044859263.655512,13044859263.655512,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-13044859263.654612,13044859263.654612,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,-13044859263.653786,13044859263.653786,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,-13044859263.653446,13044859263.653446,Linear Regression
