Model Family,Model,N_Features,CV_MAE,CV_MAE_std,CV_RMSE,CV_RMSE_std,CV_R2,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_R2,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns
Structural-only core,Random Forest,11,0.0128525757526061,0.0001637148580104914,0.03907903713156985,0.001384688375602839,0.13912669762784938,0.006658956892044417,0.013197846490375961,0.040833458718321225,0.15113847029513128,12.000541834000614,1.2877218339999672,0.05196287500075414,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,Random Forest,12,0.012982800782798272,0.0002121529797995725,0.03921920314057598,0.0014557557951438596,0.13303817473835225,0.007797562871470558,0.013359427352675405,0.04100309528524309,0.14407088066013074,4.6074551659985445,1.711807834002684,0.0561655419987801,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,Random Forest,14,0.01281134511448008,7.227252736082175e-05,0.039397980239111834,0.0013673652400700528,0.12500048246899254,0.002656592583489804,0.013034694594025927,0.040926944647008495,0.14724717858525116,5.547388667000632,1.4529062090005027,0.06525608300216845,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,HistGradientBoosting,14,0.012788761747222524,0.00010339593523521507,0.039407158918773916,0.0012833291476929984,0.12443359947953352,0.007300093600882487,0.01307647649950291,0.04056820401802377,0.16213108183706737,8.403145166001195,4.272198082999239,0.06845824999982142,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural-only core,HistGradientBoosting,11,0.012976919762007565,0.00019276318725760356,0.03941442393360487,0.0014469988614446232,0.12439634457573763,0.002491908458387961,0.013312710389258532,0.040991242564904794,0.14456565414469347,3.0800945419978234,2.7992913750022126,0.05287262500132783,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI + NDVI,Extra Trees,14,0.01288957815378468,0.0001280153554738747,0.03944516758199466,0.0014190622243909828,0.12298549866561688,0.0010603313421625768,0.013273507837998801,0.04110057605964905,0.13999627048981078,3.5817057080021186,0.8299240420019487,0.06872704200213775,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI,HistGradientBoosting,12,0.013042341068119653,0.00022830736354199004,0.0395483397110808,0.0015061895344578348,0.11848917803489123,0.008168659634294417,0.013328825343463089,0.04103460134106618,0.14275501360708676,3.135118333000719,3.431920834002085,0.05238587499843561,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,Extra Trees,11,0.013094133847425938,0.00018779124581212934,0.03958093798417753,0.0014198158446487338,0.1169257647579222,0.0026685380176058237,0.013524937399853441,0.041197168869424594,0.1359492327786127,3.66428950000045,0.8025707919987326,0.07359487500070827,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,Extra Trees,12,0.013125243371414207,0.0001627195210046898,0.03963864828537287,0.001442460942256601,0.11436932807586726,0.005223023002900519,0.013564633687315919,0.04135191528207866,0.12944587920950879,3.8086717920014053,1.1213714999976219,0.06472375000157626,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,KNeighbors,11,0.012982696765583597,0.00014380469335148667,0.04020619490943942,0.0012809107093599249,0.08853270058929792,0.006868162542187002,0.013356992550408401,0.041791785988552696,0.11082676947911518,1.6306131669989554,0.03303112499997951,0.1671040000001085,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,KNeighbors,12,0.013095641781220574,0.00013267869077032696,0.04038074706882585,0.0013762137915266336,0.08075261907926701,0.0044142198005295025,0.013395078623562874,0.04192858472028802,0.1049961093029168,1.4728611659993476,0.03608729099869379,0.16570462500021677,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,KNeighbors,14,0.012850435129565907,0.00012383204110911854,0.04041342308465948,0.0014114745731316793,0.07931759469734583,0.0056471335083770205,0.013177207800206637,0.04235611395796967,0.0866510518710768,4.416637292000814,0.06313858299836284,0.42361733299912885,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,Gradient Boosting,14,0.013392258355244532,0.00012723583073104256,0.040511001596339635,0.0014780593173955086,0.07498339414668453,0.0020821627217037252,0.013735990747961871,0.042583939859329914,0.07679914845023061,18.96167120800237,8.174403791999794,0.023743041001580423,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
