Source Feature,Mutual Information
pga,2.4503479657441307
HWB_CLASS,0.44998663239869174
age_years,0.4042678299952067
adt_log1p,0.39368217940055583
functional_class_cat,0.3750887749184728
kind,0.36008629421554483
time_since_rehab,0.35955852108499986
type,0.2906400120100119
truck_pct,0.26952822603208393
detour_km_log1p,0.22095102822067592
design_era_1989,0.18512246306035385
max_span_log1p,0.1687634371773017
lanes_on,0.1328643707351871
operating_rating,0.12743983593397967
spans,0.11577315529023213
deck_area_log1p,0.11335846568966623
SVI,0.09093293931392132
skew,0.08638626513849434
cond,0.05565773196355517
reconstructed_flag,0.022709525022369004
