Target Kind,Model Family,Model,Feature,Importance Type,Importance,Importance_std
fragility,Structural Core,Random Forest,skew,permutation_r2_decrease,0.6697513799295646,0.007357581109645887
fragility,Structural Core,Random Forest,HWB_CLASS,permutation_r2_decrease,0.35300580746534455,0.007244263901859888
fragility,Structural Core,Random Forest,age_years,permutation_r2_decrease,0.11135444259982019,0.0019226461395085795
fragility,Structural Core,Random Forest,design_era_1989,permutation_r2_decrease,0.08613272938508816,0.001006423931707707
fragility,Structural Core,Random Forest,spans,permutation_r2_decrease,0.0800549492560716,0.0012370485798257592
fragility,Structural Core,Random Forest,cond,permutation_r2_decrease,0.04641755711319053,0.0013937232837738485
fragility,Structural Core,Random Forest,time_since_rehab,permutation_r2_decrease,0.03934764771259332,0.00036040347242800874
fragility,Structural Core,Random Forest,max_span_log1p,permutation_r2_decrease,0.029647520931876413,0.0012099513571674821
fragility,Structural Core,Random Forest,deck_area_log1p,permutation_r2_decrease,0.01756196931367591,0.0010366654295189768
fragility,Structural Core,Random Forest,operating_rating,permutation_r2_decrease,0.00585200377702586,0.000498055618477964
fragility,Structural Core,Random Forest,reconstructed_flag,permutation_r2_decrease,0.003293381000416584,6.9003369519488e-05
event_edr,Event Damage Family,Decision Tree,pga,permutation_r2_decrease,2.011200275013978,0.028155251027327566
event_edr,Event Damage Family,Decision Tree,SVI,permutation_r2_decrease,0.03232934007248678,0.0025276154077517768
event_edr,Event Damage Family,Decision Tree,age_years,permutation_r2_decrease,1.2963653410080766e-06,3.2877261803017843e-07
event_edr,Event Damage Family,Decision Tree,time_since_rehab,permutation_r2_decrease,2.172539601774659e-07,3.248789869098716e-07
event_edr,Event Damage Family,Decision Tree,design_era_1989,permutation_r2_decrease,3.2326633880863656e-08,1.5112105341389083e-08
event_edr,Event Damage Family,Decision Tree,skew,permutation_r2_decrease,1.0953194129470488e-09,4.562183783528222e-10
event_edr,Event Damage Family,Decision Tree,reconstructed_flag,permutation_r2_decrease,0.0,0.0
event_edr,Event Damage Family,Decision Tree,spans,permutation_r2_decrease,0.0,0.0
event_edr,Event Damage Family,Decision Tree,cond,permutation_r2_decrease,0.0,0.0
event_edr,Event Damage Family,Decision Tree,deck_area_log1p,permutation_r2_decrease,0.0,0.0
event_edr,Event Damage Family,Decision Tree,HWB_CLASS,permutation_r2_decrease,0.0,0.0
