Feature Set,Model,CV_MAE,CV_RMSE,CV_RMSLE,CV_R2,CV_MAE_std,CV_RMSE_std,CV_RMSLE_std,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_RMSLE,Holdout_R2,Holdout_MAE_Positive,Holdout_RMSE_Positive,Holdout_RMSLE_Positive,Holdout_R2_Positive
Event Damage Hybrid,MLPRegressor,0.0002049627591687738,0.0006253014901242666,0.0005328631207441909,0.9997721821821958,3.9379896007554966e-05,0.00013111601490378862,0.00010689425885179647,9.179659504098078e-05,0.00018360458343295744,0.000570531054457778,0.0004935375991153795,0.999834284514494,0.000264719779169018,0.0007033039836297656,0.0006075282791148653,0.9998319208373936
Event Damage Hybrid,Gradient Boosting,0.00021470328728602774,0.0009555948790338486,0.000795848321076302,0.99946988696205,2.538142699638532e-05,0.00011569839254257992,0.0001040445354129268,0.00015501230842730694,0.00020231572687031888,0.0008655221498950437,0.0007092684622173372,0.9996186173870791,0.00029712150405033556,0.0010689678655720902,0.0008750010759018852,0.9996117092712153
Event Damage Hybrid,Decision Tree,0.00036376619772396666,0.0022107384860717977,0.0017709944369548542,0.9972393618695999,3.831630664188957e-06,9.533952301223952e-05,5.183761398851183e-05,0.0002000378190711219,0.0003175875869370981,0.0018869753231316798,0.001514087501420771,0.9981872539885911,0.0004866855836195007,0.0023359263601914412,0.0018743206987651894,0.9981458450873483
Event Damage Hybrid,HistGradientBoosting,0.00047864040223702663,0.002411652462073191,0.0019415800777848498,0.9967092017462456,6.828901911130842e-06,8.444802408156144e-05,5.543823810161914e-05,0.00028158697750578103,0.0005175990895010998,0.002515904457068686,0.002018140169051033,0.9967775008923189,0.0007353659186083717,0.0031134824928192926,0.0024970409287185663,0.9967060228889513
HAZUS Benchmark,Gradient Boosting,0.0008065694219562287,0.004213228057233156,0.0033866810456109745,0.9899919235674393,2.748616008301839e-05,0.0001497278331180504,8.44847852275426e-05,0.00020485907809661056,0.000848121680829816,0.004314611702086477,0.0034488929299454725,0.990522627493539,0.0012837021328875355,0.0053410980821229645,0.004269394016635901,0.9903063166846454
HAZUS Benchmark,Random Forest,0.0007836768841474814,0.004379342703820601,0.003524340101124931,0.9891904118420408,2.3229879551579102e-05,0.00018950044410704533,9.902198494147843e-05,0.000338541824178991,0.0007903227254543955,0.004195402595109439,0.0034006157227146018,0.9910390964722245,0.0012111278326775467,0.005193576934153258,0.004209693582207566,0.9908344008519351
HAZUS Benchmark,MLPRegressor,0.0011666643230878275,0.004391088031489839,0.003597298752338885,0.9890794625648195,0.0002353289995450375,0.0001355322941600589,0.00013071079552767293,0.0010033737845771896,0.0011028705557533938,0.004427092317104465,0.00360127798392798,0.9900220419574898,0.0016136857790265864,0.00547668962604721,0.004453550462599076,0.9898078928738323
HAZUS Benchmark,KNN Regressor,0.000757876704194708,0.004402889426708183,0.003545628501698341,0.9890858266102761,4.340708851935664e-05,0.0003106391468573377,0.0002058401860488914,0.000783293626606479,0.0007645271253889991,0.004497518528324097,0.003631878511044472,0.9897020580558145,0.00117159835291913,0.005567572589305314,0.004495978642096451,0.9894668202131749
Event Damage Hybrid,AdaBoost,0.0014299823461738522,0.004548793413440944,0.003888888761636112,0.9882721783373177,2.287293767050679e-05,9.543617436898656e-05,7.244854165891306e-05,0.0011220202689296596,0.0014997379139354624,0.004724679437359213,0.004035676948356786,0.9886355293345515,0.002077589877382769,0.005840955503035782,0.004986690550908377,0.988407008524378
HAZUS Benchmark,HistGradientBoosting,0.0008610771098086583,0.004583365903766673,0.0036907014203957887,0.9881574906742167,3.02061214731106e-05,0.0001963650131365445,0.00011378512401442064,0.00042184301346227083,0.0009404561676925278,0.004846888549064013,0.003886899832436039,0.9880400164085019,0.0013987611471597053,0.0059997831779243175,0.004811323396665828,0.9877679616782893
